genre,terms
Action,assassin agent must battl forc fight cop team mission terrorist enemi warrior power crimin world kill ruthless rescu war earth prison batman cia save protect oper soldier race govern elit fighter weapon stop human hero planet danger find life train citi deadli martial drug young love famili reveng former superman alli new attack man take mercenari one partner armi hunt skill crime target kidnap heist friend justic recruit polic action school super leader aveng alien year surviv stori live becom defeat order secur murder gotham join two pilot arm unit get girl hostag militari hijack face gang ex mob cartel 
Adventure,adventur world must evil save dragon power earth quest dinosaur warrior find hero ship mission villain treasur bond planet island captain ancient tribe jungl new wizard embark human epic rescu land forc magic danger battl journey team life princess search destroy race amazon take young name littlefoot friend galaxi mysteri creatur threat space kingdom murder pirat famili one anim cave woman face dog discov becom peril join expedit year travel help unchart boy home enemi two live set map fight get father man crew strength time love ocean war back hiccup school mankind way lost citi wild return wife escap 
Animation,anim scoobi monster magic adventur batman fairi doo princess dragon hero friend save villain new superman shaggi evil penguin world christma must gang kingdom name find shrek leagu littlefoot littl gotham mous ghoul smurf journey rabbit dinosaur mysteri inc get pal hiccup take citi cartoon bug owl life famili power embark young one help goofi time learn troll land super lantern becom set sparkl minion po go home dog duck discov pixi year titan tigger quest roo rainbow turtl bird live tale excit stork back team puss gromit toy come two day cat epic unicorn mermaid away forc joker girl 
Comedy,get school comedi best wed friend guy high murder war scoobi death kid big love decid date young hilari new christma kill go show surviv parti meet thing soldier colleg find deadli bad killer fight adventur fall make pal dad outrag stori plan man forc want star girlfriend investig mom power life time day danger trip competit one dog help world prison violent romanc problem dark mysteri doo famili escap back toy parent two take dream brutal canin becom fun marri human romant popular begin senior need year win put must crush group mistaken remot hollywood think live girl uptight 
Crime,polic murder cop drug crime crimin heist detect killer fbi bank prison partner investig mob robberi serial gangster agent offic mafia boss case find thief kill corrupt two new undercov life one involv young famili man street world gang kidnap citi take becom dealer steal year friend get cartel forc must money con mobster turn york live tri diamond conspiraci million lo assassin enforc hostag kingpin uncov goe wife rob woman former robber make daughter lord angel love evid violent old help ex set brother lapd jail plan discov death wit target casino stori run work job go mysteri father 
Documentary,documentari footag interview film intim explor life world scene behind look access featur stori archiv reveal cast icon one filmmak career perform make jackass year time live histori director stunt never new oppenheim person journey avatar min movi depth take peopl follow seen star music crew product cultur seri univers two transgend work man album portrait fame artist set shock rise famili rehears commentari us share porn first death impact spielberg retrospect decad art bobi knoxvil american celebr experi exclus power atom delv insight photographi discuss rare unpreced day marvel ginsburg adult evolut scientist use tell dive mysteri raw lead 
Drama,stori life love evil young must war save relationship live struggl magic monster team true alien famili american adventur ii man find mysteri mother woman passion creatur wife husband discov year drama father earth group planet friend dancer new power sexual vampir son anim two one affair human stop world forc marriag work take princess becom ancient hero british career super york game jewish chang get tragedi boy villain friendship earli time begin 1960 fall agent addict lawyer old killer plan base help turn women deadli secret suffer back polit school inspir older set terrifi citi dragon mission make murder 
Family,magic dog adventur fairi christma anim scoobi monster friend princess puppi new boy save littl find dragon doo santa evil must name villain world home get famili orphan help kingdom learn toy shaggi take young life old disney kid discov pup pal embark canin land wizard one tale gang girl time school ghoul journey paw quest year witch murder creatur make cat mischiev wish littlefoot becom dad meet man power rabbit come away live parent smurf excit hero holiday togeth shrek classic turtl two cub back mr giant way mysteri team accident big stori father hiccup go mous dinosaur dream 
Fantasy,magic evil dragon fairi vampir witch monster wizard power world ancient princess warrior find adventur young must immort save discov new mysteri life quest creatur god queen human live becom year supernatur forc one famili troll girl kingdom help friend take old name dark battl get ghost earth man boy love land return time giant two come home journey way curs soul portal shrek back wish father princ turn embark school set learn sorcer stori secret christma citi face make hellboy tri scroog woman away villain demon oz destroy high stop day forest meet group togeth mortal bilbo spirit fall 
History,stori war ii british true american armi bligh nazi centuri communist slave world apartheid viii boleyn wwii crucifixion patton church ibn hanssen vatel life england german confeder isra slaveri empir troop septemb base ottoman capon valjean hoffa tribun 1966 first robe worsley tora barabba 1863 enzo mozart senna fadlan ucla schanberg pran queen horáková bismarck inspir rome throne find nation literari reich famili civil gener poland cuban new ghetto battl one becom year conquest young histor jewish histori superstardom fight english emperor mandela america soldier throat live swear hebrew lamborghini klan klux ku lead rebellion ness stood drama 1970 film 
Horror,vampir zombi hous group horror demon terrifi supernatur shark nightmar terror haunt mysteri town trap creatur blood entiti young surviv remot famili discov evil night killer turn victim flesh horrif find kill begin life unleash dark possess survivor murder disturb new sinist strang dracula home one friend soon world gruesom love myer stalk deadli halloween dead death take must curs isol year investig horrifi plagu becom forc eat student mother hunt live two secret woman teenag infect presenc lake wood get someth cabin man hell escap frighten doll bloodthirsti serial old insid girl viru hels exorc fear attack move human 
Music,music singer danc rock band dancer concert album perform musician star dream life pop new talent sing record song young find rise live world girl make one becom love school get stori songwrit take year career hip friend competit hop high stardom featur superstar fame learn come time show famili audit two way choir togeth help tour begin meet stage father town fall teenag camp discov magic club journey day aspir roll scene york old sharpay boy celebr big broadway countri compos first street footag best night drummer group home follow look classic forc chang seabrook back interview true struggl 
Mystery,investig mysteri murder scoobi detect doo shaggi disappear killer solv begin case discov find young suspect famili truth life one uncov new town secret strang woman holm man inc friend serial sleuth becom haunt death year world live clue miss must two take poirot wife gang dark conspiraci soon polic forc unravel disturb hous husband daughter event privat get cube past turn home sinist gruesom stranger someth involv clouseau love behind seem girl tri mental marpl remot help inspector crime old unsolv memori kill group may sculli work saniti father back set make victim dead terrifi spooki arriv come mother 
Romance,love fall relationship romanc life woman marri meet romant find young new get wed marriag friend girl lover two beauti man one live famili school year date affair world dream best passion work becom high day take make must boyfriend coupl discov husband time girlfriend daughter help handsom wife stori father begin decid women york set heart come guy old turn divorc forc tri feel way colleg town learn first complic home back togeth ladi mysteri star engag mother sex parent soon end small sister chang spend career teenag aspir move murder attract start secret job lead return true student 
