Genre, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
Action,agent, assassin, must, forc, cop, warrior, fight, battl, mission, terrorist, 
Adventure,adventur, must, evil, world, the, save, dragon, dinosaur, bond, king, 
Animation,anim, monster, barbi, magic, batman, adventur, the, fairi, princess, hero, 
Comedy,get, school, best, friend, comedi, wed, high, high school, guy, war, 
Crime,cop, polic, drug, detect, murder, crimin, crime, heist, fbi, bank, 
Documentary,documentari, footag, interview, film, intim, the, explor, life, archiv, thi documentari, 
Drama,stori, life, must, war, evil, love, young, true stori, the, alien, 
Family,magic, dog, anim, adventur, fairi, christma, puppi, monster, name, friend, 
Fantasy,magic, evil, fairi, dragon, wizard, vampir, witch, monster, ancient, princess, 
History,stori, war, jesu, true stori, world war, ii, armi, war ii, true, the stori, 
Horror,vampir, zombi, horror, shark, group, terrifi, supernatur, demon, hous, haunt, 
Music,music, singer, rock, danc, dancer, the, band, concert, album, musician, 
Mystery,investig, mysteri, detect, murder, shaggi, doo, disappear, killer, scoobi, solv, 
Romance,love, fall, relationship, romanc, woman, meet, romant, marri, life, find, 
Science Fiction,alien, earth, planet, space, human, robot, scientist, futur, world, the, 
TV Movie,cindel, christma, alf, disney channel, avalon, halloweentown, seabrook, miriam, abb, ewok, 
Thriller,murder, killer, agent, investig, detect, cop, polic, love, terrorist, assassin, 
War,war, world war, ii, war ii, german, soldier, nazi, world war ii, world, armi, 
Western,outlaw, rancher, gunfight, cattl, poss, west, town, frontier, earp, gunsling, 
