term,Drama,Comedy,Thriller,Action,Adventure,Horror,Romance,Family,Crime,Science Fiction,Fantasy,Animation,Mystery,History,Music,TV Movie,War,Documentary,Western
futur,0.2478085206210466,nan,0.24857603274203507,0.23627565955929486,0.25456558247518124,0.22332384975915237,0.2622056514000008,0.2417680702771097,0.21247919017638267,0.25344622707383685,0.2427093300283702,0.2469314538135399,0.22826969184085172,nan,nan,nan,nan,nan,nan
reset,nan,nan,0.2156911113054034,nan,0.3059789142761289,nan,0.2156911113054034,nan,nan,0.26083501279076615,nan,nan,0.2156911113054034,nan,nan,nan,nan,nan,nan
zod,nan,nan,nan,0.2647331959421089,0.2853560551091189,nan,nan,nan,nan,0.3059789142761289,nan,nan,nan,nan,nan,nan,nan,nan,nan
return,0.2382155100621446,0.21583747290049538,0.22685564925536772,0.21674091804771786,0.2360584696056739,0.19962574839395222,0.21548894642750394,0.22790634421321232,0.21001809785917375,0.23758992417009184,0.2242639904255025,0.2225811634986332,0.2607000176395571,0.1711805093326614,0.25950827891949096,0.2005643106601127,0.1711805093326614,0.2000357591083566,nan
save,0.21607789767558208,0.22078744609587608,0.2115415529757847,0.21319618048893405,0.21924991272901742,0.2259176639248274,0.24045997912907222,0.2086065690917823,0.23415160565692728,0.2231116338148643,0.21501428966506922,nan,0.19986064034796241,0.1898901932505924,0.2555889045132116,0.21838272071922937,nan,nan,nan
sacrific,0.27451949470635384,0.2876093588644242,0.219013033013497,0.26243602499738844,0.24461818005678437,0.26476265422506096,nan,nan,0.2143706538504258,0.20496187297578916,0.23011003377678416,nan,nan,0.30973118402680133,nan,nan,nan,nan,nan
inadvert,0.2627611452021137,0.2492786961551496,0.25396273714425677,0.24536852598757042,0.2646676059724904,0.23569541471875585,0.26353144389932304,0.2659303653406417,0.24222218441724094,0.25798467156904237,0.23781553496354185,0.2687061807854367,0.2393458940650647,nan,nan,0.2199751309551806,nan,nan,nan
alter,0.22964779866124768,nan,0.24162841305672025,0.2813519811276125,0.2596137290984841,0.2051166884213308,0.2284484942581054,0.3380043573512759,nan,0.21592459540054057,0.231642662180377,0.2051166884213308,0.2550894340291234,nan,nan,nan,nan,nan,nan
super,0.24844341408059997,0.27732252457533146,0.1984658974349865,0.289025878404991,0.23677195924846078,nan,0.2927976250451232,0.2559248751109824,0.24260719845387596,0.23059451627405014,0.26070188989285636,0.24547898593756023,0.23899553424762435,nan,0.3137796882646983,0.1984658974349865,0.2243062854907181,nan,nan
realiti,0.255818241173246,0.24992441000632112,0.26222099816925737,0.29355930553289844,0.23118633561003757,0.2298893461848624,0.2666377441234506,0.2533194309547326,nan,0.23887381264699728,0.2821863898741281,nan,0.25630052792957303,nan,nan,0.2244102114589602,nan,nan,nan
joy,0.20755428556286087,0.2559230360990761,0.21696626816811965,0.2195928249764113,0.340058742043186,0.2146243682370938,0.24561114081150653,0.22725794665951302,nan,0.2731786516914524,0.340058742043186,nan,nan,0.194772867027483,nan,nan,nan,nan,nan
color,0.2424264685823334,0.1885333019962936,0.2424552276187079,nan,0.22526057318790205,nan,nan,0.20161378160718144,0.22260663728769892,nan,0.23366940843435563,0.23331371983016422,0.2424552276187079,nan,0.195971245705589,nan,nan,nan,nan
live,0.21917091533791166,0.19062146198594124,0.21389270186655537,0.2192441957555714,0.2228989833181745,0.20349468315506433,0.22567591351515684,0.1938476011654016,0.19655389412578037,0.18732242372493124,0.21101938246907492,0.19888328733951505,0.20365313752802586,nan,0.22420250205370873,0.188638149987866,0.3114125884445635,nan,0.3114125884445635
peril,0.2257798788268188,0.271800677225429,0.24067872056586573,0.27822966048356296,0.2450726619693765,nan,0.23673171149515,0.25896450308709906,nan,0.2402283842967452,0.24606592189217708,0.2683312234178538,nan,0.2262949861008934,nan,0.2004520072570832,0.2458707032844598,nan,nan
world,0.19880479440118615,0.21574033922993935,0.2166466672289465,0.22370590832225923,0.24637140953419032,0.1686227230536709,0.20267642487501755,0.21502149341169507,nan,0.22088244783047734,0.2531844576240793,0.22495510329120127,0.2308706161245693,0.16407966535924867,nan,0.21613423200926538,0.18721382798359767,nan,nan
seemingli,0.23092837727642992,0.2616085970676407,0.262576143528708,0.25821550921059533,0.2720635656360935,0.3176458993270619,0.24192068597087277,0.2616085970676407,0.26964323178756816,0.2353525676025148,0.2720635656360935,nan,0.23212047588712997,nan,nan,0.3108007447132987,nan,nan,nan
perfect,0.2846492852356259,0.25294464857552723,0.2522514220654832,0.22682234979280097,0.2453739461070084,0.3136385232079818,0.26752848627677056,0.2598041400957656,0.2407021115759493,0.27039838404964023,0.227885625676473,0.2036167616201525,0.2271044706240713,nan,0.2753671748654013,0.2879583380334364,nan,nan,nan
chanc,0.2644878602229517,0.2522367242779385,0.2635926801511836,0.2433130119828351,0.2595346572964926,nan,0.2798918763450008,0.24897258104188075,0.26541300287573333,0.26299722696688765,0.22466899254426406,nan,0.3004737725777054,nan,0.2673700291132613,0.2673700291132613,nan,nan,nan
real,0.25475712284224666,0.2130333152432091,0.2419665631770246,0.2793218168043515,0.24280897476143962,0.1905826308428673,0.23785144270118133,0.21532269335645396,0.1380005298035621,0.1861099532237355,0.2336040543944451,0.15435363205337244,0.20792469927935633,nan,0.2249930040945739,0.2140911994133708,nan,nan,nan
land,0.21384986749969212,0.21942175968911345,0.23974998376514098,0.19885382007047317,0.2058868398616986,0.22949894880709631,0.23290610144755877,0.201353601515834,0.2387607078945288,0.23203649015334238,0.2312232145867232,0.2590553384369682,0.21392293342678004,0.2376100404339231,0.2310846310115598,nan,nan,nan,0.2350322583812343
seiya,nan,nan,nan,0.2992012982815072,0.2992012982815072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
zodiac,nan,nan,nan,0.2864542956396746,0.3474557048702181,nan,nan,nan,nan,0.4084571141007616,0.4084571141007616,nan,nan,nan,nan,nan,nan,nan,nan
goddess,0.2083877632458574,0.3175599439614275,0.2071967864395021,0.26152456520167516,0.32182924087758097,0.2071967864395021,0.1996380123169399,0.3881108134672196,nan,0.2071967864395021,0.3042891812893831,0.2623783652004648,nan,nan,nan,nan,nan,nan,nan
reincarn,0.2287729001141064,0.29583032359874156,nan,0.2486038266090736,0.2486038266090736,0.2637490688323549,0.3630643590971023,nan,nan,0.2968695926809694,0.28793891939705696,nan,0.3387633995741342,nan,nan,nan,nan,nan,nan
headstrong,0.24108594187911195,nan,0.2909309193069855,0.20853615760955896,0.21753508447459036,nan,0.2909309193069855,0.3176827925692549,nan,0.2189541319507712,0.19787530937629894,0.26831846226001305,nan,nan,nan,nan,0.3990770198153333,nan,nan
tap,0.2316911769109652,0.2562933400155234,0.2324980643512793,0.233827863440208,0.2152547267087292,0.18439594081144994,nan,0.2562933400155234,0.1964707924158575,0.1818353137038308,0.1723210892070424,0.2169175370524494,0.1723210892070424,0.2140179625512403,nan,0.1723210892070424,nan,nan,nan
embrac,0.2385927192440885,0.1752357521787199,0.2963658033652762,0.2083338581565427,0.17296965690255967,0.2512434291445133,0.2526505761526472,0.17940981818853158,nan,0.2769572631129354,0.17196484082757366,0.1801054509309722,nan,0.2018566886235801,0.20235101263258118,0.17196484082757366,nan,nan,nan
knight,0.36485178151054093,0.24676513510551457,0.3882715834305529,0.2913005225029618,0.2628450809586974,nan,0.39152154884893103,0.23899519015188603,0.38270152852123684,0.2588695395562104,0.2720237493662316,0.3198528817099259,0.30902684682864906,0.2992602973292542,nan,0.2173607232366901,0.392351533760566,nan,nan
unwittingli,0.1921025499510467,0.28426417489808786,0.25401824774977577,0.24986632048756918,0.202747921437555,0.27795486191317564,0.21258923286103695,0.1877480690859911,0.23783295020480932,0.25470739782407065,0.2000890725982745,nan,0.29624605351102673,nan,nan,nan,nan,nan,nan
destini,0.3023519812292231,0.26182344185104073,0.2631773487837794,0.1986414871795847,0.23226031793490462,nan,0.2735846514382404,0.23497825499621128,nan,0.18847821742424495,0.2688572131936834,nan,nan,0.2327477761374313,0.2226418484040918,nan,nan,nan,nan
sonic,nan,0.5045822079896767,nan,0.45723078733209055,0.4398776671483053,nan,nan,0.5045822079896767,nan,0.4988519591593768,nan,nan,nan,nan,nan,nan,nan,nan,nan
emerald,0.2064523343965855,0.2645303737629925,nan,nan,0.30743537429683976,nan,nan,0.4044279028695732,0.2366270196288651,nan,0.22945808344525345,0.2714790702150685,nan,nan,nan,nan,nan,nan,nan
robotnik,nan,0.29235706182715765,nan,nan,0.2330014618715165,nan,nan,0.29235706182715765,nan,0.3517126617827988,nan,nan,nan,nan,nan,nan,nan,nan,nan
trot,0.2865242880351796,0.2199388335741526,0.32639850462976383,nan,0.2199388335741526,nan,nan,0.2199388335741526,0.3376766745064864,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
