,document,term,tfidf
6242098,0,futur,0.3182161295413809
6248457,0,reset,0.3059789142761289
6252917,0,zod,0.3059789142761289
6248509,0,return,0.27755843345343395
6249009,0,save,0.2618364126753996
6248861,0,sacrific,0.2309731506466876
6243563,0,inadvert,0.22253381672404934
6236872,0,alter,0.20269199869776156
6250560,0,super,0.19176406144417657
6248159,0,realiti,0.18353265869731158
134547191,1,joy,0.340058742043186
134542382,1,color,0.32992343850258093
134547944,1,live,0.32044271639433497
134550268,1,peril,0.3119145015522632
134555801,1,world,0.3010167537114724
134552307,1,seemingli,0.2720635656360935
134550261,1,perfect,0.2517554797996913
134541966,1,chanc,0.23810333226204516
134551252,1,real,0.22858036853481972
134547626,1,land,0.22585589506010234
126046963,10,seiya,0.29920129828150727
126050661,10,zodiac,0.2864542956396746
126040133,10,goddess,0.25981696520409586
126046056,10,reincarn,0.2486038266090736
126040679,10,headstrong,0.23802582025699615
126048574,10,tap,0.23382786344020806
126038789,10,embrac,0.20833385815654276
126042117,10,knight,0.20348767266806372
126049671,10,unwittingli,0.202747921437555
126038027,10,destini,0.19864148717958474
108347783,100,sonic,0.43987766714830534
108338915,100,emerald,0.40442790286957325
108346538,100,robotnik,0.23300146187151655
108349323,100,trot,0.21993883357415267
108342254,100,knuckl,0.2113347002752737
108348641,100,tail,0.18091513287088323
108347386,100,sidekick,0.17878293175619142
108338737,100,eager,0.17328218969522444
108340224,100,globe,0.17168344416197415
108340963,100,hill,0.168757788475817
67339698,1000,childhood,0.38351114073130615
67351191,1000,sublim,0.3385816137187553
67339588,1000,chang,0.3238006978205879
67351604,1000,techniqu,0.2719907829064503
67347287,1000,occupi,0.2566653427310208
67337296,1000,access,0.24344667773119127
67337563,1000,allow,0.21109511632701333
67340175,1000,consequ,0.21109511632701333
67346272,1000,memori,0.19976587502568938
67352452,1000,unexpect,0.18718485317470615
128726910,1001,creatur,0.35767115523191917
128727481,1001,deterior,0.2952996588126845
128725967,1001,cave,0.24816530008649454
128726443,1001,collaps,0.24816530008649454
128725175,1001,bloodthirsti,0.24667243094830435
128728538,1001,expedit,0.241265267474485
128730445,1001,horribl,0.2314888011547568
128738881,1001,underground,0.20578121053850654
128738499,1001,tragic,0.2053285961264598
128735695,1001,reunit,0.19391371220142903
140832748,1002,highlight,0.3363938870764841
140832118,1002,gospel,0.32577301585321355
140829176,1002,contribut,0.31753482811140094
140833641,1002,jazz,0.2884259440641603
140829185,1002,convers,0.2663545311901584
140832773,1002,hip,0.26283579560353904
140832903,1002,hop,0.2611946907481388
140835487,1002,mix,0.24900257047134972
140827507,1002,biggest,0.2251848638252721
140836831,1002,perform,0.20275208969486105
147809162,1003,insurg,0.33554994520885423
147803658,1003,breed,0.3046057608177099
147809174,1003,interact,0.30198538692048577
147812568,1003,perhap,0.2972031950336912
147813282,1003,punk,0.29500797374856014
147813934,1003,revolut,0.28074062094933866
147807632,1003,geniu,0.25910784939839127
147815382,1003,spark,0.25910784939839127
147805253,1003,cultur,0.24569947435666484
147807293,1003,forev,0.22261721367407153
11424876,1004,princess,0.3454069944420207
11428216,1004,thermopoli,0.28612967746902485
11414295,1004,archeri,0.27393957075641034
11419411,1004,genovia,0.27393957075641034
11426039,1004,saddl,0.2377427275007788
11420441,1004,hors,0.2018480425914558
11416975,1004,crown,0.19923208883981472
11418051,1004,earlier,0.19923208883981472
11418016,1004,duti,0.1976065847366025
11421895,1004,lesson,0.19606447736479138
47919291,1005,smokey,0.3835469665360866
